********************************************************************************
Field Output Report, written Tue Mar 25 17:58:42 2025

Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Increment      0: Base State

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
              69    -1.84644E-15     3.94960E-15         16.4166
              70    -770.538E-18     3.69380E-15        -7.71887
              71     2.01187E-15     7.83613E-15         2.28107
              72    -8.44239E-15     2.25332E-15         5.35160
              73    -1.09992E-15     2.60629E-15         1.62946
              74    -611.630E-18     4.49877E-15         5.58772
              75     1.77368E-15     1.79977E-15        -5.86708
              76     184.088E-18     4.62813E-15        -32.5846
              77     989.361E-18     2.35533E-15        -18.3637
              78    -456.464E-18     7.36129E-15         16.4516
              79    -2.41870E-15     4.94554E-15         7.14537
              80     627.842E-18     1.20269E-15        -8.97937
              81     724.726E-18     420.998E-18    -812.643E-03
              82     1.65366E-15     3.26221E-15         1.93064
              83     143.966E-18     6.11391E-15         17.8894
              84    -1.64162E-15     4.84674E-15         6.98757
              85    -1.79685E-15     5.16323E-15         8.32270
              86    -1.64904E-15     5.97838E-15         11.6248
              87    -5.14195E-15     971.940E-18        -3.19290


Field Output reported at nodes for part: ASSEMBLY

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.


Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Mode         4: Value =  8.70714E+05 Freq =   148.51     (cycles/time)

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.
               5              0.              0.              0.
               6              0.              0.              0.
               7              0.              0.              0.
               8              0.              0.              0.
               9              0.              0.              0.
              10              0.              0.              0.
              11              0.              0.              0.
              12              0.              0.              0.
              13              0.              0.              0.
              14              0.              0.              0.
              15              0.              0.              0.
              16              0.              0.              0.
              17     1.73873E-15     107.453E-18     593.035E-03
              18    -4.34716E-15     3.94314E-15    -343.651E-03
              19    -3.36178E-15     4.29332E-15    -406.651E-03
              20     1.93683E-15    -63.6697E-18     204.346E-03
              21     14.9903E-15    -16.4930E-15         46.8108
              22     10.1459E-15    -15.9887E-15         46.9300
              23     17.5243E-15    -1.56504E-15        -33.4706
              24     6.40981E-15    -13.8940E-15        -34.5807
              25     25.6837E-15    -23.4149E-15         34.6845
              26     12.6507E-15    -9.93153E-15         34.5857
              27     20.7512E-15    -1.29046E-15        -45.9713
              28     22.1018E-15    -14.0242E-15        -46.9833
              29     15.1384E-15    -13.2160E-15         6.58542
              30     12.5979E-15    -16.3541E-15         4.18701
              31     12.8900E-15    -11.3288E-15        -1.81403
              32     12.5231E-15    -23.3017E-15         12.3493
              33     19.0206E-15    -20.8065E-15        -4.16639
              34     15.5350E-15    -19.3370E-15         11.0959
              35     19.7151E-15    -14.8856E-15         1.05649
              36     18.4876E-15    -8.11114E-15        -8.88815
              37     28.0452E-15    -25.2241E-15        -1.99991
              38     7.68143E-15    -10.4442E-15         1.51289
              39     7.59767E-15    -11.1636E-15         8.84991
              40     3.28034E-15    -5.74251E-15        -2.70153
              41     9.02253E-15    -11.4998E-15        -6.83921
              42     6.94138E-15    -6.73748E-15         5.58800
              43     2.63373E-15    -2.23595E-15     301.993E-03
              44     14.1466E-15    -5.73857E-15        -15.6918
              45     6.46462E-15    -633.082E-18        -3.70482
              46     6.22009E-15    -3.93242E-15        -1.28084
              47     6.95972E-15    -6.04370E-15     3.41601E-03
              48     9.21255E-15    -4.89627E-15        -4.44941
              49     1.24255E-15    -2.28813E-15     648.581E-03
              50     2.75845E-15    -4.95673E-15         3.97548
              51     12.0222E-15    -6.11723E-15        -2.74066
              52     13.9344E-15    -11.7399E-15         2.51745
              53     15.0970E-15    -7.33347E-15        -5.36918
              54     9.38616E-15    -5.35272E-15        -4.79799
              55     16.5571E-15    -10.2425E-15        -22.4303
              56     10.0254E-15    -7.88907E-15         2.55546
              57     5.11068E-15    -2.91339E-15     179.595E-03
              58     3.10916E-15    -1.41754E-15    -108.495E-03
              59     6.37858E-15    -1.58107E-15    -827.791E-03
              60     7.11839E-15    -2.82110E-15         1.57615
              61     13.1962E-15    -8.62593E-15         11.7339
              62     9.81378E-15    -5.00144E-15    -441.665E-03
              63     2.50999E-15    -665.187E-18     729.235E-03
              64     3.42102E-15    -907.838E-18         1.95823
              65     3.23301E-15    -1.14761E-15     617.048E-03
              66     18.1446E-15    -17.4336E-15         20.5096
              67     13.5404E-15    -11.3877E-15        -1.11338
              68     15.8733E-15    -17.0691E-15         25.3843
              69     25.7842E-15    -12.9806E-15        -28.5703
              70     13.8231E-15    -5.59429E-15        -25.0546
              71     15.2275E-15    -4.48516E-15        -22.1484
              72     19.3648E-15    -11.1258E-15        -29.8875
              73     4.87805E-15    -4.26217E-15     424.715E-03
              74     5.76553E-15    -7.42561E-15         3.71785
              75     6.55007E-15    -2.77130E-15         3.68387
              76     15.0917E-15    -12.7421E-15         13.2464
              77     14.0572E-15    -8.45402E-15         3.49653
              78     9.25254E-15    -12.3654E-15         13.0463
              79     8.84468E-15    -7.34473E-15        -1.74028
              80     16.1964E-15    -4.54198E-15        -8.87670
              81     5.83620E-15    -339.421E-18        -2.42591
              82     4.91429E-15    -6.97932E-15        -7.80513
              83     11.8616E-15    -14.1757E-15         13.7821
              84     7.81481E-15    -8.27618E-15         2.22745
              85     8.28019E-15    -8.52194E-15         1.17969
              86     8.36522E-15    -9.72640E-15         3.60897
              87     16.9188E-15    -10.5847E-15        -8.32689


Field Output reported at nodes for part: ASSEMBLY

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.


Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Mode         5: Value =  1.82947E+06 Freq =   215.27     (cycles/time)

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.
               5              0.              0.              0.
               6              0.              0.              0.
               7              0.              0.              0.
               8              0.              0.              0.
               9              0.              0.              0.
              10              0.              0.              0.
              11              0.              0.              0.
              12              0.              0.              0.
              13              0.              0.              0.
              14              0.              0.              0.
              15              0.              0.              0.
              16              0.              0.              0.
              17     12.6376E-15     33.9684E-15    -580.639E-03
              18     7.95134E-15    -36.3393E-15        -1.05709
              19     22.7442E-15    -46.3621E-15    -777.547E-03
              20    -38.1937E-15    -35.2157E-15        -1.46649
              21    -130.394E-15     22.7686E-15         49.2576
              22    -244.887E-15    -324.677E-15         49.2644
              23    -227.228E-15    -36.6366E-15         48.0764
              24    -193.108E-15     73.0828E-15         48.3231
              25    -289.484E-15     305.567E-15         47.4935
              26    -227.765E-15     38.1361E-15         47.7632
              27    -455.383E-15    -201.675E-15         42.6750
              28    -41.3825E-15     139.877E-15         42.8211
              29    -254.231E-15    -43.1023E-15        -3.27634
              30    -128.044E-15    -26.2519E-15        -23.7376
              31    -351.300E-15    -179.849E-15         2.84874
              32    -24.9628E-15     195.490E-15         1.68656
              33    -30.3596E-15     151.271E-15         3.38098
              34    -426.170E-15    -197.439E-15        -5.54711
              35    -318.010E-15    -79.8231E-15        -24.3222
              36    -193.931E-15    -124.529E-15        -14.1226
              37    -357.969E-15    -179.168E-15        -36.1562
              38    -138.264E-15     24.5016E-15         1.01429
              39    -94.3538E-15     24.7266E-15         5.02698
              40    -66.0630E-15     43.3990E-15         4.18294
              41    -209.590E-15     14.8169E-15         6.73998
              42    -49.5348E-15     27.2870E-15         7.05588
              43    -18.3877E-15     16.3714E-15     475.837E-03
              44    -359.924E-15    -177.205E-15         9.62082
              45    -182.981E-15    -118.444E-15         3.62234
              46    -154.665E-15    -97.4165E-15     906.214E-03
              47    -177.431E-15    -137.112E-15     960.843E-03
              48    -249.170E-15    -143.761E-15         2.69487
              49    -47.6538E-15    -65.4403E-15     545.597E-03
              50    -112.817E-15    -144.541E-15         4.35788
              51    -41.5051E-15     59.4196E-15         1.42712
              52    -76.8355E-15     131.394E-15         4.36804
              53    -57.0471E-15     59.2760E-15         3.83993
              54    -32.2488E-15     34.6818E-15         4.94569
              55     8.95535E-15     85.8524E-15         14.9261
              56    -116.505E-15     81.3934E-15         4.18903
              57    -61.9011E-15     18.6149E-15     36.3061E-03
              58    -21.3198E-15     5.22212E-15     41.0853E-03
              59    -107.424E-15     8.25839E-15         1.80623
              60    -129.477E-15     13.6879E-15         1.95808
              61    -228.565E-15     14.8913E-15         10.6307
              62    -146.738E-15     14.1570E-15         2.91037
              63    -51.2810E-15    -6.07789E-15     929.233E-03
              64    -77.2487E-15    -13.8761E-15         3.22676
              65    -60.3833E-15     2.66166E-15     573.042E-03
              66    -274.108E-15     11.5947E-15         8.23289
              67    -165.330E-15    -17.7113E-15        -2.53945
              68    -262.519E-15    -130.715E-15     271.159E-03
              69    -545.687E-15    -141.743E-15         9.41974
              70    -159.768E-15     8.26998E-15         23.0467
              71    -249.183E-15    -62.7180E-15         18.7998
              72    -76.1818E-15    -14.2766E-15         7.25557
              73    -112.873E-15    -102.172E-15     389.958E-03
              74    -151.928E-15    -155.966E-15         2.84937
              75    -126.509E-15    -2.66461E-15         4.27826
              76    -225.405E-15     3.99573E-15         6.15384
              77    -214.703E-15     21.7398E-15         4.13225
              78    -238.107E-15    -228.096E-15         10.4663
              79    -228.461E-15    -164.394E-15         1.88986
              80    -213.012E-15     4.40573E-15         9.01851
              81    -87.5889E-15    -11.2374E-15         3.85682
              82    -143.049E-15     11.4433E-15         9.10158
              83    -181.031E-15     8.11685E-15         3.56411
              84    -189.496E-15    -160.194E-15         2.11543
              85    -214.821E-15    -165.923E-15         2.18176
              86    -218.000E-15    -174.896E-15         3.42628
              87    -33.2417E-15     85.6372E-15         4.08529


Field Output reported at nodes for part: ASSEMBLY

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.


Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Mode         6: Value =  3.57000E+06 Freq =   300.71     (cycles/time)

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.
               5              0.              0.              0.
               6              0.              0.              0.
               7              0.              0.              0.
               8              0.              0.              0.
